name,start,end,date,video,image,
Christian Meissner,2024,2025,2024-2025,,https://emmarshall.github.io/runza/img/apls-presidents/christian_meissner.jpeg,
Daniel Murrey,2023,2024,2023-2024,,https://emmarshall.github.io/runza/img/apls-presidents/daniel_murrie.jpg,
"Barry Rosenfeld, PhD",2022,2023,2022-2023,,https://emmarshall.github.io/runza/img/apls-presidents/barry_rosenfeld.jpg,
"Lora M. Levett, PhD",2021,2022,2021-2022,,https://emmarshall.github.io/runza/img/apls-presidents/lora_levett.png,
"Allison Redlich, PhD",2020,2021,2020-2021,https://www.youtube.com/watch?v=g4G4gm5uAn4,https://emmarshall.github.io/runza/img/apls-presidents/allison_redlich.jpg,
"Jennifer Groscup, JD, PhD",2019,2020,2019-2020,https://www.youtube.com/watch?v=IKcSFIu1fWU,https://emmarshall.github.io/runza/img/apls-presidents/jen_groscup.jpg,
"Kevin S. Douglas, LLB, PhD",2018,2019,2018-2019,https://www.youtube.com/watch?v=eLyMVJVWPsg,https://emmarshall.github.io/runza/img/apls-presidents/kevin_douglas.png,
"Eve Brank, JD, PhD",2017,2018,2017-2018,https://www.youtube.com/watch?v=ZzOrE2TVXSg,https://emmarshall.github.io/runza/img/apls-presidents/eve_brank.jpg,
"David DeMatteo, JD, PhD",2016,2017,2016-2017,https://www.youtube.com/watch?v=x7I4LqJBun4,https://emmarshall.github.io/runza/img/apls-presidents/david_dematteo.jpg,
"Jennifer Woolard, PhD",2015,2016,2015-2016,https://www.youtube.com/watch?v=9EuOKQRemtQ,https://emmarshall.github.io/runza/img/apls-presidents/jennifer_woolard.jpeg,
"Patricia Zapf, PhD",2014,2015,2014-2015,https://www.youtube.com/watch?v=JTjVqa5PfCI,https://emmarshall.github.io/runza/img/apls-presidents/patricia_zapf.png,
"Jennifer Skeem, PhD",2013,2014,2013-2014,https://www.youtube.com/watch?v=RKo8RO6-qFE,https://emmarshall.github.io/runza/img/apls-presidents/jennifer_skeem.jpg,
"William E. Foote, PhD",2012,2013,2012-2013,https://www.youtube.com/watch?v=9Jhi2e4NfGA,https://emmarshall.github.io/runza/img/apls-presidents/william_foote.png,
"Brian L. Cutler, PhD",2011,2012,2011-2012,,https://emmarshall.github.io/runza/img/apls-presidents/brian_cutler.jpeg,
"Patricia A. Griffin, PhD",2010,2011,2010-2011,,https://upload.wikimedia.org/wikipedia/commons/8/89/Portrait_Placeholder.png,
"Edward P. Mulvey, PhD",2009,2010,2009-2010,,https://emmarshall.github.io/runza/img/apls-presidents/ed_mulvey.jpeg,
"Saul M. Kassin, PhD",2008,2009,2008-2009,,https://emmarshall.github.io/runza/img/apls-presidents/saul_kassin.png,
"Margaret Bull Kovera, PhD",2007,2008,2007-2008,,https://emmarshall.github.io/runza/img/apls-presidents/margaret_kovera.jpeg,
"Joel A. Dvoskin, PhD",2006,2007,2006-2007,,https://emmarshall.github.io/runza/img/apls-presidents/joel_dvoskin.jpeg,
"Gary L. Wells, PhD",2005,2006,2005-2006,,https://emmarshall.github.io/runza/img/apls-presidents/gary_wells.jpeg,
"Edie Greene, PhD",2004,2005,2004-2005,,https://emmarshall.github.io/runza/img/apls-presidents/edie_greene.jpeg,
"Solomon M. Fulero, PhD",2003,2004,2003-2004,,https://emmarshall.github.io/runza/img/apls-presidents/solomon_fulero.jpeg,
"Randy K. Otto, PhD",2002,2003,2002-2003,,https://emmarshall.github.io/runza/img/apls-presidents/randy_otto.jpeg,
"Stephen D. Hart, PhD",2001,2002,2001-2002,,https://emmarshall.github.io/runza/img/apls-presidents/stephen_hart.png,
"Steve Penrod, PhD",2000,2001,2000-2001,,https://emmarshall.github.io/runza/img/apls-presidents/steve_penrod.jpeg,
"Murray Levine, PhD",1999,2000,1999-2000,,https://emmarshall.github.io/runza/img/apls-presidents/murray_levine.jpeg,
"James R. P. Ogloff, PhD, JD",1998,1999,1998-1999,,https://emmarshall.github.io/runza/img/apls-presidents/james_ogloff.png,
"John C. Brigham, PhD",1997,1998,1997-1998,,https://emmarshall.github.io/runza/img/apls-presidents/john_brigham.png,
"Gail S. Goodman, PhD",1996,1997,1996-1997,,https://emmarshall.github.io/runza/img/apls-presidents/gail_goodman.png,
"Kirk Stephen Heilbrun, PhD",1995,1996,1995-1996,,https://emmarshall.github.io/runza/img/apls-presidents/kirk_heilbrun.jpeg,
"Jane S. Goodman-Delahunty, PhD",1994,1995,1994-1995,,https://emmarshall.github.io/runza/img/apls-presidents/goodman_delahunty.png,
"Ronald Roesch, PhD",1993,1994,1993-1994,,https://emmarshall.github.io/runza/img/apls-presidents/ronald_roesch.jpeg,
"Norman G. Poythress, Jr., PhD",1992,1993,1992-1993,,https://emmarshall.github.io/runza/img/apls-presidents/norman_poythress.jpeg,
"Stephen L. Golding, PhD",1991,1992,1991-1992,,https://emmarshall.github.io/runza/img/apls-presidents/stephen_golding.jpeg,
"Gary B. Melton, PhD",1990,1991,1990-1991,,https://emmarshall.github.io/runza/img/apls-presidents/gary_melton.png,
"Thomas Grisso, PhD",1989,1990,1989-1990,,https://emmarshall.github.io/runza/img/apls-presidents/tom_grisso.jpeg,
"Michael Jay Saks, PhD",1988,1989,1988-1989,,https://emmarshall.github.io/runza/img/apls-presidents/michael_saks.jpg,
"Shari Seidman Diamond, PhD",1987,1988,1987-1988,,https://emmarshall.github.io/runza/img/apls-presidents/shari_diamond.jpeg,
"Stephen J. Morse, PhD",1986,1987,1986-1987,,https://emmarshall.github.io/runza/img/apls-presidents/stephen_morse.jpg,
"Bruce Dennis Sales, PhD",1985,1986,1985-1986,,https://emmarshall.github.io/runza/img/apls-presidents/bruce-sales.jpg,
"Elizabeth F. Loftus, PhD",1984,1985,1984-1985,,https://emmarshall.github.io/runza/img/apls-presidents/liz_loftus.jpg,
"Patrick H. DeLeon, PhD, JD",1983,1984,1983-1984,,https://emmarshall.github.io/runza/img/apls-presidents/deleon_patrick.jpg,Psychology and Law
"David L. Rosenhan, PhD",1982,1983,1982-1983,,https://emmarshall.github.io/runza/img/apls-presidents/david_rosenhan.jpeg,Psychology and Law
"John Monahan, PhD",1981,1982,1981-1982,,https://emmarshall.github.io/runza/img/apls-presidents/monahan_john.jpg,Psychology and Law