year,name
2023,Lauren Kois
2022,Ashley Batastini
2021,L. Maaike Helmus
2020,Jeff Kukucka
2019,Stephane Shepherd
2018,Cynthia Najdowski
2017,Jessica Salerno
2016,Tess Neal
2015,Jay Singh
2015,Nicholas Scurich
2014,Lindsay Malloy
2013,Martin Sellbom
2012,Maria Hartwig
2011,Jodi Viljoen
2010,Monica Miller
2009,Samuel Sommers
2008,Christian Meissner
2007,Candice Odgers
2005,Kevin Douglas
2004,Jodi Quas
2003,Jennifer Skeem
2002,Eric Silver
2001,John Edens
2001,Randy Salekin
2000,Margaret Bull Kovera
2000,Richard Leo
1999,No recipient
1998,Bette Bottoms
1997,Susan Limber
1996,Randy Borum
1995,Jim Ogloff
1994,Steve Hart